G,Years,Days,Age,Team,Home,Win,Diff,Game Started,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,Total RB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,21,252,21.6899384,CHI,1,1,16,1,40,5,16,0,0,6,7,1,5,6,7,2,4,5,2,16,12.5
2,21,253,21.69267625,CHI,0,0,-2,1,34,8,13,0,0,5,5,3,2,5,5,2,1,3,4,21,19.4
3,21,255,21.69815195,CHI,1,1,6,1,34,13,24,0,0,11,13,2,2,4,5,6,2,3,4,37,32.9
4,21,256,21.7008898,CHI,0,1,5,1,36,8,21,0,0,9,9,2,2,4,5,3,1,6,5,25,14.7
5,21,258,21.7063655,CHI,0,0,-16,1,33,7,15,0,0,3,4,3,2,5,5,1,1,2,4,17,13.2
6,21,264,21.72279261,CHI,0,1,4,1,27,9,19,0,0,7,9,1,3,4,3,3,1,5,5,25,14.9
7,21,265,21.72553046,CHI,0,1,15,1,33,15,22,0,0,3,4,4,4,8,5,3,2,5,2,33,29.3
8,21,267,21.73100616,CHI,0,1,2,1,42,9,22,0,0,9,12,2,7,9,4,2,5,3,4,27,21.2
9,21,270,21.73921971,CHI,1,1,3,1,43,18,27,1,1,8,11,2,8,10,4,3,2,4,4,45,37.5
10,21,272,21.74469541,CHI,1,0,-20,1,33,12,24,0,1,3,3,0,2,2,2,2,1,1,4,27,17.1
11,21,274,21.75017112,CHI,1,0,-9,1,44,4,17,0,0,8,8,0,5,5,7,5,2,4,5,16,12.5
12,21,276,21.75564682,CHI,1,0,-17,1,39,11,26,0,3,12,16,2,3,5,2,2,1,3,3,34,20.8
13,21,278,21.76112252,CHI,0,0,-10,1,42,11,22,0,0,13,14,4,9,13,2,2,2,6,3,35,26.7
14,21,280,21.76659822,CHI,0,1,19,1,30,9,13,0,0,5,6,0,4,4,3,4,1,4,4,23,19.5
15,21,281,21.76933607,CHI,0,0,-10,1,41,10,24,0,1,10,10,3,3,6,8,3,1,4,4,30,23.9
16,21,284,21.77754962,CHI,0,0,-6,1,24,6,10,0,0,1,1,0,2,2,3,3,2,4,1,13,11.1
17,21,286,21.78302533,CHI,0,0,-5,1,30,9,17,1,1,3,4,1,2,3,2,2,0,2,5,22,14
18,21,287,21.78576318,CHI,0,1,4,1,37,9,15,0,0,2,4,2,3,5,5,3,0,4,4,20,15.5
19,21,289,21.79123888,CHI,0,1,1,1,42,7,13,0,0,6,8,2,0,2,3,1,1,4,3,20,12.9
20,21,291,21.79671458,CHI,1,1,15,1,35,7,13,0,0,6,6,1,2,3,6,1,0,3,3,20,16
21,21,294,21.80492813,CHI,1,1,2,1,43,8,16,0,1,5,7,1,1,2,3,2,0,6,5,21,9.3
22,21,295,21.80766598,CHI,1,1,2,1,35,10,23,0,0,0,0,4,3,7,2,0,2,2,3,20,11.2
23,21,298,21.81587953,CHI,1,0,-7,1,37,13,28,0,1,1,3,1,7,8,6,2,0,3,4,27,16.2
24,21,299,21.81861739,CHI,0,0,-7,1,30,6,17,0,2,9,10,0,1,1,2,2,1,1,5,21,12.5
25,21,301,21.82409309,CHI,0,0,-2,1,44,12,25,0,0,10,10,2,6,8,8,1,0,0,4,34,29.5
26,21,302,21.82683094,CHI,1,0,-12,1,27,7,16,0,0,0,0,1,1,2,2,1,0,1,2,14,7.2
27,21,305,21.83504449,CHI,1,0,-8,1,45,8,20,0,1,2,4,1,2,3,8,3,0,1,2,18,14.5
28,21,307,21.84052019,CHI,0,1,3,1,41,12,22,0,0,10,16,4,4,8,7,5,1,7,5,34,26.6
29,21,309,21.84599589,CHI,1,1,25,1,35,12,18,0,0,8,8,1,11,12,8,0,3,3,3,32,31.7
30,21,314,21.85968515,CHI,1,1,4,1,44,20,33,0,1,5,5,2,5,7,11,3,0,3,1,45,40.1
31,21,316,21.86516085,CHI,1,0,-3,1,39,7,18,0,0,7,9,1,3,4,5,0,0,3,6,21,10.1
32,21,320,21.87611225,CHI,0,0,-14,1,34,10,14,0,0,5,6,1,6,7,4,3,0,4,2,25,22.3
33,21,322,21.88158795,CHI,1,1,5,1,38,9,16,0,1,4,5,0,2,2,6,3,0,0,4,22,20.2
34,21,323,21.8843258,CHI,0,0,-6,1,42,16,25,0,0,10,11,4,3,7,4,2,1,3,3,42,35.5
35,21,327,21.89527721,CHI,0,0,-3,1,42,12,24,0,0,12,13,4,2,6,6,2,1,4,4,36,28.3
36,21,329,21.90075291,CHI,1,1,16,1,30,8,14,0,0,7,7,2,4,6,5,2,0,5,3,23,18.3
37,21,330,21.90349076,CHI,0,0,-3,1,36,10,21,0,1,4,6,4,8,12,3,1,0,3,5,24,15.8
38,21,332,21.90896646,CHI,1,1,9,1,43,11,16,0,0,13,15,2,12,14,15,3,1,6,3,35,39.4
39,21,334,21.91444216,CHI,0,0,-6,1,44,8,17,0,1,11,12,1,6,7,7,2,0,6,3,27,20.1
40,21,335,21.91718001,CHI,1,1,5,1,40,8,20,0,0,9,12,0,4,4,6,2,2,3,4,25,17.2
41,21,337,21.92265572,CHI,0,0,-3,1,41,15,27,2,4,6,8,2,10,12,7,3,2,2,5,38,34
42,21,340,21.93086927,CHI,1,1,8,1,39,11,20,0,1,7,7,1,11,12,5,2,0,4,4,29,23.3
43,21,343,21.93908282,CHI,1,1,17,1,37,6,15,0,1,10,10,2,2,4,8,4,2,1,3,22,24.7
44,21,344,21.94182067,CHI,1,1,13,1,43,17,24,0,0,11,11,1,7,8,10,0,4,5,3,45,41.4
45,21,347,21.95003422,CHI,1,1,6,1,38,11,17,0,0,4,6,0,7,7,7,3,0,1,3,26,25.5
46,21,348,21.95277207,CHI,0,0,-11,1,41,12,19,0,0,14,15,0,7,7,8,4,0,4,3,38,35.6
47,21,350,21.95824778,CHI,0,0,-11,1,37,9,16,0,2,13,14,0,6,6,5,2,0,3,5,31,25.3
48,21,354,21.96919918,CHI,1,0,-4,1,45,14,25,0,1,13,14,4,8,12,7,4,1,1,6,41,40.1
49,21,356,21.97467488,CHI,0,0,-9,1,38,8,17,0,0,7,8,3,1,4,7,4,0,7,6,23,15.8
50,21,361,21.98836413,CHI,1,1,13,1,45,19,31,0,0,11,13,7,8,15,5,4,0,6,5,49,40.9
51,21,364,21.99657769,CHI,1,0,-18,1,37,8,20,0,1,1,2,1,6,7,6,0,2,4,1,17,9.5
52,22,0,22,CHI,0,0,-20,1,34,9,15,0,0,8,8,2,1,3,3,2,1,5,1,26,20.2
53,22,2,22.0054757,CHI,1,0,-10,1,30,6,13,0,2,4,5,4,2,6,8,0,0,3,5,16,12.9
54,22,5,22.01368925,CHI,0,0,-10,1,42,8,18,0,0,10,12,1,3,4,7,3,0,3,3,26,21.1
55,22,6,22.0164271,CHI,1,1,15,1,32,15,20,0,0,8,8,1,4,5,5,3,0,0,4,38,36.8
56,22,9,22.02464066,CHI,1,0,-5,1,48,12,27,0,1,4,4,3,6,9,5,0,0,1,4,28,18.7
57,22,10,22.02737851,CHI,0,0,-9,1,35,8,17,0,1,8,9,1,5,6,2,4,1,4,3,24,18
58,22,12,22.03285421,CHI,1,1,5,1,38,6,15,0,0,9,12,2,8,10,10,3,0,7,2,21,17.7
59,22,14,22.03832991,CHI,1,0,-4,1,41,13,21,0,0,11,12,6,8,14,5,3,1,3,2,37,37.1
60,22,16,22.04380561,CHI,1,1,5,1,44,12,23,0,0,13,17,2,7,9,8,2,1,2,3,37,32.7
61,22,17,22.04654346,CHI,0,1,3,1,42,13,28,0,0,7,7,2,5,7,3,5,2,5,2,33,24.2
62,22,19,22.05201916,CHI,1,1,16,1,28,7,13,1,2,11,14,2,6,8,7,0,1,1,3,26,25.1
63,22,20,22.05475702,CHI,1,0,-6,1,38,9,21,1,1,9,16,2,4,6,4,5,0,6,5,28,16.5
64,22,22,22.06023272,CHI,0,0,-7,1,34,6,14,0,0,9,10,1,3,4,4,0,0,4,2,21,12.8
65,22,23,22.06297057,CHI,1,1,1,1,39,11,24,0,1,10,11,3,5,8,4,1,0,5,2,32,20.8
66,22,25,22.06844627,CHI,0,0,-9,1,34,5,18,0,0,6,11,1,2,3,8,1,0,1,3,16,9.1
67,22,26,22.07118412,CHI,1,1,6,1,42,11,15,0,0,5,6,1,8,9,14,2,2,6,3,27,29.6
68,22,28,22.07665982,CHI,1,1,2,1,48,11,25,0,3,10,13,6,5,11,16,1,1,3,5,32,31.3
69,22,30,22.08213552,CHI,0,0,-6,1,42,11,22,0,0,9,10,2,2,4,7,2,1,7,3,31,21
70,22,31,22.08487337,CHI,0,0,-8,1,43,14,23,0,1,10,12,3,4,7,4,3,0,2,5,38,31.8
71,22,34,22.09308693,CHI,0,1,10,1,43,5,17,0,0,10,10,3,6,9,10,2,1,1,1,20,22.3
72,22,35,22.09582478,CHI,0,0,-18,1,35,9,24,0,0,8,11,3,6,9,6,4,2,3,2,26,21.3
73,22,37,22.10130048,CHI,1,1,1,1,40,13,24,0,1,12,13,4,5,9,5,3,0,3,5,38,31.8
74,22,39,22.10677618,CHI,0,0,-8,1,41,11,25,1,3,12,14,4,4,8,10,2,0,2,4,35,30.5
75,22,41,22.11225188,CHI,1,0,-5,1,42,13,19,1,1,11,13,2,3,5,6,1,0,3,1,38,33.2
76,22,44,22.12046543,CHI,1,1,14,1,44,12,19,0,0,7,8,5,3,8,9,3,0,7,1,31,28.4
77,22,45,22.12320329,CHI,0,1,9,1,40,12,19,0,1,1,3,1,5,6,3,4,0,2,5,25,20
78,22,47,22.12867899,CHI,0,0,-3,1,38,13,21,0,1,14,15,0,1,1,5,3,0,2,6,40,32.5
