Age,Team,Home,Win,Game Started,Total RB,AST,PTS
21.6899384,CHI,1,1,1,6,7,16
21.69267625,CHI,0,0,1,5,5,21
21.69815195,CHI,1,1,1,4,5,37
21.7008898,CHI,0,1,1,4,5,25
21.7063655,CHI,0,0,1,5,5,17
21.72279261,CHI,0,1,1,4,3,25
21.72553046,CHI,0,1,1,8,5,33
21.73100616,CHI,0,1,1,9,4,27
21.73921971,CHI,1,1,1,10,4,45
21.74469541,CHI,1,0,1,2,2,27
21.75017112,CHI,1,0,1,5,7,16
21.75564682,CHI,1,0,1,5,2,34
21.76112252,CHI,0,0,1,13,2,35
21.76659822,CHI,0,1,1,4,3,23
21.76933607,CHI,0,0,1,6,8,30
21.77754962,CHI,0,0,1,2,3,13
21.78302533,CHI,0,0,1,3,2,22
21.78576318,CHI,0,1,1,5,5,20
21.79123888,CHI,0,1,1,2,3,20
21.79671458,CHI,1,1,1,3,6,20
21.80492813,CHI,1,1,1,2,3,21
21.80766598,CHI,1,1,1,7,2,20
21.81587953,CHI,1,0,1,8,6,27
21.81861739,CHI,0,0,1,1,2,21
21.82409309,CHI,0,0,1,8,8,34
21.82683094,CHI,1,0,1,2,2,14
21.83504449,CHI,1,0,1,3,8,18
21.84052019,CHI,0,1,1,8,7,34
21.84599589,CHI,1,1,1,12,8,32
21.85968515,CHI,1,1,1,7,11,45
21.86516085,CHI,1,0,1,4,5,21
21.87611225,CHI,0,0,1,7,4,25
21.88158795,CHI,1,1,1,2,6,22
21.8843258,CHI,0,0,1,7,4,42
21.89527721,CHI,0,0,1,6,6,36
21.90075291,CHI,1,1,1,6,5,23
21.90349076,CHI,0,0,1,12,3,24
21.90896646,CHI,1,1,1,14,15,35
21.91444216,CHI,0,0,1,7,7,27
21.91718001,CHI,1,1,1,4,6,25
21.92265572,CHI,0,0,1,12,7,38
21.93086927,CHI,1,1,1,12,5,29
21.93908282,CHI,1,1,1,4,8,22
21.94182067,CHI,1,1,1,8,10,45
21.95003422,CHI,1,1,1,7,7,26
21.95277207,CHI,0,0,1,7,8,38
21.95824778,CHI,0,0,1,6,5,31
21.96919918,CHI,1,0,1,12,7,41
21.97467488,CHI,0,0,1,4,7,23
21.98836413,CHI,1,1,1,15,5,49
21.99657769,CHI,1,0,1,7,6,17
22,CHI,0,0,1,3,3,26
22.0054757,CHI,1,0,1,6,8,16
22.01368925,CHI,0,0,1,4,7,26
22.0164271,CHI,1,1,1,5,5,38
22.02464066,CHI,1,0,1,9,5,28
22.02737851,CHI,0,0,1,6,2,24
22.03285421,CHI,1,1,1,10,10,21
22.03832991,CHI,1,0,1,14,5,37
22.04380561,CHI,1,1,1,9,8,37
22.04654346,CHI,0,1,1,7,3,33
22.05201916,CHI,1,1,1,8,7,26
22.05475702,CHI,1,0,1,6,4,28
22.06023272,CHI,0,0,1,4,4,21
22.06297057,CHI,1,1,1,8,4,32
22.06844627,CHI,0,0,1,3,8,16
22.07118412,CHI,1,1,1,9,14,27
22.07665982,CHI,1,1,1,11,16,32
22.08213552,CHI,0,0,1,4,7,31
22.08487337,CHI,0,0,1,7,4,38
22.09308693,CHI,0,1,1,9,10,20
22.09582478,CHI,0,0,1,9,6,26
22.10130048,CHI,1,1,1,9,5,38
22.10677618,CHI,0,0,1,8,10,35
22.11225188,CHI,1,0,1,5,6,38
22.12046543,CHI,1,1,1,8,9,31
22.12320329,CHI,0,1,1,6,3,25
22.12867899,CHI,0,0,1,1,5,40
22.13141684,CHI,0,1,1,7,4,33
22.13689254,CHI,0,0,1,8,5,22
22.14784394,CHI,1,0,1,3,6,28
22.15058179,CHI,0,0,1,2,9,29
22.6844627,CHI,1,1,1,6,3,29
22.68720055,CHI,1,1,1,7,6,33
22.6954141,CHI,0,1,1,2,2,12
23.07118412,CHI,1,0,0,1,2,12
23.07665982,CHI,0,0,0,4,1,17
23.08213552,CHI,0,0,0,4,3,12
23.08761123,CHI,0,0,0,2,1,20
23.09034908,CHI,0,0,0,1,1,8
23.09856263,CHI,1,1,0,3,3,19
23.10677618,CHI,0,0,0,1,3,22
23.10951403,CHI,0,1,0,1,1,24
23.11772758,CHI,0,0,0,5,2,28
23.12320329,CHI,0,1,0,5,3,26
23.12867899,CHI,1,1,0,3,3,30
23.13415469,CHI,1,1,1,5,7,26
23.13689254,CHI,0,0,1,6,6,30
23.14510609,CHI,1,1,1,5,2,31
23.15058179,CHI,0,0,1,3,4,29
23.70362765,CHI,0,1,1,6,3,50
23.7063655,CHI,0,1,1,8,2,41
23.7118412,CHI,1,1,1,8,5,34
23.72005476,CHI,0,0,1,0,5,33
23.72279261,CHI,1,1,1,6,3,39
23.73100616,CHI,1,1,1,5,3,34
23.73374401,CHI,0,0,1,4,4,28
23.73921971,CHI,1,0,1,5,1,48
23.75838467,CHI,1,1,1,6,4,40
23.76112252,CHI,1,1,1,9,4,22
23.77207392,CHI,0,0,1,9,3,37
23.77754962,CHI,0,0,1,10,3,41
23.78028747,CHI,0,0,1,5,6,40
23.78850103,CHI,0,1,1,9,6,40
23.79123888,CHI,0,0,1,3,3,45
23.79671458,CHI,0,0,1,4,2,43
23.79945243,CHI,0,0,1,5,3,43
23.80766598,CHI,1,1,1,6,6,40
23.81040383,CHI,0,0,1,4,4,41
23.81587953,CHI,0,1,1,5,3,41
23.81861739,CHI,1,0,1,4,2,11
23.82683094,CHI,1,1,1,5,1,41
23.83230664,CHI,0,1,1,3,6,41
23.83778234,CHI,1,0,1,4,7,27
